scan_date;source_date;repo;tag;sha;severity;cve_name;cve_uri
2020-10-02T20:0:00+00:00;2020-10-01T10:0:00+00:00;some/repo-image;6.6.6;sha256:deadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef;CRITICAL;CVE-2019-19814;https://security-tracker.debian.org/tracker/CVE-2019-19814;
2020-10-02T20:0:00+00:00;2020-10-01T10:0:00+00:00;some/repo-image;6.6.6;sha256:deadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef;CRITICAL;CVE-2019-19816;https://security-tracker.debian.org/tracker/CVE-2019-19816;
2020-10-02T20:0:00+00:00;2020-10-01T10:0:00+00:00;some/repo-image;6.6.6;sha256:deadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef;HIGH;CVE-2020-27153;https://security-tracker.debian.org/tracker/CVE-2020-27153;
2020-10-02T20:0:00+00:00;2020-10-01T10:0:00+00:00;some/repo-image;6.6.6;sha256:deadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef;HIGH;CVE-2019-25013;https://security-tracker.debian.org/tracker/CVE-2019-25013;
2020-10-02T20:0:00+00:00;2020-10-01T10:0:00+00:00;some/repo-image;6.6.6;sha256:deadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef;HIGH;CVE-2020-0452;https://security-tracker.debian.org/tracker/CVE-2020-0452;
2020-10-02T20:0:00+00:00;2020-10-01T10:0:00+00:00;some/repo-image;6.6.6;sha256:deadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef;HIGH;CVE-2020-0466;https://security-tracker.debian.org/tracker/CVE-2020-0466;
2020-10-02T20:0:00+00:00;2020-10-01T10:0:00+00:00;some/repo-image;6.6.6;sha256:deadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef;HIGH;CVE-2020-27777;https://security-tracker.debian.org/tracker/CVE-2020-27777;
2020-10-02T20:0:00+00:00;2020-10-01T10:0:00+00:00;some/repo-image;6.6.6;sha256:deadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef;HIGH;CVE-2020-36158;https://security-tracker.debian.org/tracker/CVE-2020-36158;
2020-10-02T20:0:00+00:00;2020-10-01T10:0:00+00:00;some/repo-image;6.6.6;sha256:deadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef;HIGH;CVE-2013-7445;https://security-tracker.debian.org/tracker/CVE-2013-7445;
2020-10-02T20:0:00+00:00;2020-10-01T10:0:00+00:00;some/repo-image;6.6.6;sha256:deadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef;HIGH;CVE-2019-19074;https://security-tracker.debian.org/tracker/CVE-2019-19074;
2020-10-02T20:0:00+00:00;2020-10-01T10:0:00+00:00;some/repo-image;6.6.6;sha256:deadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef;HIGH;CVE-2019-0145;https://security-tracker.debian.org/tracker/CVE-2019-0145;
